Date;Country;Province;Cases;Recovered;Deaths
4/4/20;Afghanistan;;299;10;7
4/5/20;Afghanistan;;349;15;7
4/6/20;Afghanistan;;367;18;11
4/7/20;Afghanistan;;423;18;14
4/8/20;Afghanistan;;444;29;14
4/9/20;Afghanistan;;484;32;15
4/10/20;Afghanistan;;521;32;15
4/11/20;Afghanistan;;555;32;18
4/12/20;Afghanistan;;607;32;18
4/13/20;Afghanistan;;665;32;21
4/14/20;Afghanistan;;714;40;23
4/15/20;Afghanistan;;784;43;25
4/16/20;Afghanistan;;840;54;30
4/17/20;Afghanistan;;906;99;30
4/18/20;Afghanistan;;933;112;30
4/19/20;Afghanistan;;996;131;33
4/20/20;Afghanistan;;1026;135;36
4/21/20;Afghanistan;;1092;150;36
4/22/20;Afghanistan;;1176;166;40
4/23/20;Afghanistan;;1279;179;42
4/24/20;Afghanistan;;1351;188;43
4/25/20;Afghanistan;;1463;188;47
4/26/20;Afghanistan;;1531;207;50
4/27/20;Afghanistan;;1703;220;57
4/28/20;Afghanistan;;1828;228;58
4/29/20;Afghanistan;;1939;252;60
4/30/20;Afghanistan;;2171;260;64
5/1/20;Afghanistan;;2335;310;68
5/2/20;Afghanistan;;2469;331;72
5/3/20;Afghanistan;;2704;345;85
4/4/20;Albania;;333;99;20
4/5/20;Albania;;361;104;20
4/6/20;Albania;;377;116;21
4/7/20;Albania;;383;131;22
4/8/20;Albania;;400;154;22
4/9/20;Albania;;409;165;23
4/10/20;Albania;;416;182;23
4/11/20;Albania;;433;197;23
4/12/20;Albania;;446;217;23
4/13/20;Albania;;467;232;23
4/14/20;Albania;;475;248;24
4/15/20;Albania;;494;251;25
4/16/20;Albania;;518;277;26
4/17/20;Albania;;539;283;26
4/18/20;Albania;;548;302;26
4/19/20;Albania;;562;314;26
4/20/20;Albania;;584;327;26
4/21/20;Albania;;609;345;26
4/22/20;Albania;;634;356;27
4/23/20;Albania;;663;385;27
4/24/20;Albania;;678;394;27
4/25/20;Albania;;712;403;27
4/26/20;Albania;;726;410;28
4/27/20;Albania;;736;422;28
4/28/20;Albania;;750;431;30
4/29/20;Albania;;766;455;30
4/30/20;Albania;;773;470;31
5/1/20;Albania;;782;488;31
5/2/20;Albania;;789;519;31
5/3/20;Albania;;795;531;31
4/4/20;Algeria;;1251;90;130
4/5/20;Algeria;;1320;90;152
4/6/20;Algeria;;1423;90;173
4/7/20;Algeria;;1468;113;193
4/8/20;Algeria;;1572;237;205
4/9/20;Algeria;;1666;347;235
4/10/20;Algeria;;1761;405;256
4/11/20;Algeria;;1825;460;275
4/12/20;Algeria;;1914;591;293
4/13/20;Algeria;;1983;601;313
4/14/20;Algeria;;2070;691;326
4/15/20;Algeria;;2160;708;336
4/16/20;Algeria;;2268;783;348
4/17/20;Algeria;;2418;846;364
4/18/20;Algeria;;2534;894;367
4/19/20;Algeria;;2629;1047;375
4/20/20;Algeria;;2718;1099;384
4/21/20;Algeria;;2811;1152;392
4/22/20;Algeria;;2910;1204;402
4/23/20;Algeria;;3007;1355;407
4/24/20;Algeria;;3127;1408;415
4/25/20;Algeria;;3256;1479;419
4/26/20;Algeria;;3382;1508;425
4/27/20;Algeria;;3517;1558;432
4/28/20;Algeria;;3649;1651;437
4/29/20;Algeria;;3848;1702;444
4/30/20;Algeria;;4006;1779;450
5/1/20;Algeria;;4154;1821;453
5/2/20;Algeria;;4295;1872;459
5/3/20;Algeria;;4474;1936;463
4/4/20;Andorra;;466;21;17
4/5/20;Andorra;;501;26;18
4/6/20;Andorra;;525;31;21
4/7/20;Andorra;;545;39;22
4/8/20;Andorra;;564;52;23
4/9/20;Andorra;;583;58;25
4/10/20;Andorra;;601;71;26
4/11/20;Andorra;;601;71;26
4/12/20;Andorra;;638;128;29
4/13/20;Andorra;;646;128;29
4/14/20;Andorra;;659;128;31
4/15/20;Andorra;;673;169;33
4/16/20;Andorra;;673;169;33
4/17/20;Andorra;;696;191;35
4/18/20;Andorra;;704;205;35
4/19/20;Andorra;;713;235;36
4/20/20;Andorra;;717;248;37
4/21/20;Andorra;;717;282;37
4/22/20;Andorra;;723;309;37
4/23/20;Andorra;;723;333;37
4/24/20;Andorra;;731;344;40
4/25/20;Andorra;;738;344;40
4/26/20;Andorra;;738;344;40
4/27/20;Andorra;;743;385;40
4/28/20;Andorra;;743;398;41
4/29/20;Andorra;;743;423;42
4/30/20;Andorra;;745;468;42
5/1/20;Andorra;;745;468;43
5/2/20;Andorra;;747;472;44
5/3/20;Andorra;;748;493;45
4/4/20;Angola;;10;2;2
4/5/20;Angola;;14;2;2
4/6/20;Angola;;16;2;2
4/7/20;Angola;;17;2;2
4/8/20;Angola;;19;2;2
4/9/20;Angola;;19;2;2
4/10/20;Angola;;19;2;2
4/11/20;Angola;;19;4;2
4/12/20;Angola;;19;4;2
4/13/20;Angola;;19;4;2
4/14/20;Angola;;19;5;2
4/15/20;Angola;;19;5;2
4/16/20;Angola;;19;5;2
4/17/20;Angola;;19;5;2
4/18/20;Angola;;24;6;2
4/19/20;Angola;;24;6;2
4/20/20;Angola;;24;6;2
4/21/20;Angola;;24;6;2
4/22/20;Angola;;25;6;2
4/23/20;Angola;;25;6;2
4/24/20;Angola;;25;6;2
4/25/20;Angola;;25;6;2
4/26/20;Angola;;26;6;2
4/27/20;Angola;;27;6;2
4/28/20;Angola;;27;6;2
4/29/20;Angola;;27;7;2
4/30/20;Angola;;27;7;2
5/1/20;Angola;;30;11;2
5/2/20;Angola;;35;11;2
5/3/20;Angola;;35;11;2
4/4/20;Antigua and Barbuda;;15;0;0
4/5/20;Antigua and Barbuda;;15;0;0
4/6/20;Antigua and Barbuda;;15;0;0
4/7/20;Antigua and Barbuda;;19;0;1
4/8/20;Antigua and Barbuda;;19;0;2
4/9/20;Antigua and Barbuda;;19;0;2
4/10/20;Antigua and Barbuda;;19;0;2
4/11/20;Antigua and Barbuda;;21;0;2
4/12/20;Antigua and Barbuda;;21;0;2
4/13/20;Antigua and Barbuda;;23;0;2
4/14/20;Antigua and Barbuda;;23;3;2
4/15/20;Antigua and Barbuda;;23;3;2
4/16/20;Antigua and Barbuda;;23;3;3
